t_iso,t_unix,rssi,remrssi,noise,remnoise,rxerrors,fixed,txbuf,marker_distance_m
2026-05-18T23:36:24,1779143784.131,203,200,74,50,1,0,100,
2026-05-18T23:36:25,1779143785.066,203,200,70,49,1,0,100,
2026-05-18T23:36:25,1779143785.993,203,200,70,49,1,0,100,
2026-05-18T23:36:27,1779143787.034,204,200,73,48,1,0,100,
2026-05-18T23:36:28,1779143788.076,214,206,75,50,1,0,100,
2026-05-18T23:36:29,1779143789.003,218,217,77,52,1,0,100,
2026-05-18T23:36:30,1779143790.043,218,219,75,49,1,0,100,
2026-05-18T23:36:31,1779143791.083,219,219,68,49,1,0,100,
2026-05-18T23:36:31,1779143791.995,219,219,63,47,1,0,100,
2026-05-18T23:36:33,1779143793.051,219,219,65,48,1,0,100,
2026-05-18T23:36:34,1779143794.075,219,219,68,49,1,0,100,
2026-05-18T23:36:35,1779143795.003,219,219,70,48,1,0,100,
2026-05-18T23:36:36,1779143796.044,219,219,73,52,1,0,100,
2026-05-18T23:36:37,1779143797.083,219,219,70,52,1,0,100,
2026-05-18T23:36:38,1779143798.011,219,219,69,52,1,0,100,
2026-05-18T23:36:39,1779143799.051,219,219,72,52,1,0,100,
2026-05-18T23:36:39,1779143799.979,219,219,66,46,1,0,100,
2026-05-18T23:36:41,1779143801.019,219,219,63,52,1,0,100,
2026-05-18T23:36:42,1779143802.059,219,219,64,51,1,0,100,
2026-05-18T23:36:42,1779143802.987,214,215,69,50,1,0,100,
2026-05-18T23:36:44,1779143804.027,209,203,65,48,1,0,100,
2026-05-18T23:36:45,1779143805.067,219,217,64,53,1,0,100,
2026-05-18T23:36:45,1779143805.995,219,218,67,51,1,0,100,
2026-05-18T23:36:47,1779143807.019,219,218,68,51,1,0,100,
2026-05-18T23:36:48,1779143808.075,219,218,61,49,1,0,100,
2026-05-18T23:36:49,1779143809.003,219,218,70,49,1,0,100,
2026-05-18T23:36:50,1779143810.027,219,218,63,48,1,0,100,
2026-05-18T23:36:51,1779143811.083,219,218,66,51,1,0,100,
2026-05-18T23:36:51,1779143811.995,219,218,66,54,1,0,100,
2026-05-18T23:36:53,1779143813.035,219,218,62,47,1,0,100,
2026-05-18T23:36:54,1779143814.075,219,218,65,48,1,0,100,
2026-05-18T23:36:55,1779143815.003,219,218,63,49,1,0,100,
2026-05-18T23:36:56,1779143816.043,219,218,67,49,1,0,100,
2026-05-18T23:36:57,1779143817.083,219,218,65,52,1,0,100,
2026-05-18T23:36:58,1779143818.011,219,218,68,49,1,0,100,
2026-05-18T23:36:59,1779143819.048,219,218,66,51,1,0,100,
2026-05-18T23:37:00,1779143820.088,219,218,66,47,1,0,100,
2026-05-18T23:37:01,1779143821.016,219,218,67,49,1,0,100,
2026-05-18T23:37:02,1779143822.055,219,218,67,51,1,0,100,
2026-05-18T23:37:03,1779143823.095,219,218,60,54,1,0,100,
2026-05-18T23:37:04,1779143824.023,219,218,66,48,1,0,100,
2026-05-18T23:37:05,1779143825.048,219,218,61,52,1,0,100,
2026-05-18T23:37:06,1779143826.103,219,218,72,48,1,0,100,
2026-05-18T23:37:07,1779143827.031,219,218,60,48,1,0,100,
2026-05-18T23:37:08,1779143828.055,219,218,65,48,1,0,100,
2026-05-18T23:37:08,1779143828.983,219,218,73,51,1,0,100,
2026-05-18T23:37:10,1779143830.023,219,218,61,47,1,0,100,
2026-05-18T23:37:11,1779143831.063,219,218,61,47,1,0,100,
2026-05-18T23:37:11,1779143831.991,212,212,66,48,1,0,100,
2026-05-18T23:37:13,1779143833.031,219,218,67,59,1,0,100,
2026-05-18T23:37:14,1779143834.071,219,219,66,54,1,0,100,
2026-05-18T23:37:14,1779143834.999,219,219,60,50,1,0,100,
2026-05-18T23:37:16,1779143836.039,219,219,67,53,1,0,100,
2026-05-18T23:37:17,1779143837.079,219,219,63,61,1,0,100,
2026-05-18T23:37:18,1779143838.007,219,219,57,65,1,0,100,
2026-05-18T23:37:19,1779143839.047,219,215,60,72,1,0,100,
2026-05-18T23:37:20,1779143840.087,219,215,64,76,1,0,100,
2026-05-18T23:37:20,1779143840.999,219,215,67,76,1,0,100,
2026-05-18T23:37:22,1779143842.055,219,215,61,75,1,0,100,
2026-05-18T23:37:23,1779143843.079,219,219,60,48,1,0,100,
2026-05-18T23:37:24,1779143844.007,212,207,63,48,1,0,100,
2026-05-18T23:37:25,1779143845.047,217,210,57,50,1,0,100,
2026-05-18T23:37:26,1779143846.087,218,217,53,47,1,0,100,
2026-05-18T23:37:27,1779143847.015,218,217,66,50,1,0,100,
2026-05-18T23:37:28,1779143848.055,218,217,64,51,1,0,100,
2026-05-18T23:37:29,1779143849.094,218,217,62,53,1,0,100,
2026-05-18T23:37:30,1779143850.022,218,217,57,50,1,0,100,
2026-05-18T23:37:31,1779143851.064,219,218,65,47,1,0,100,
2026-05-18T23:37:32,1779143852.102,219,219,61,48,1,0,100,
2026-05-18T23:37:33,1779143853.031,219,219,59,49,1,0,100,
2026-05-18T23:37:34,1779143854.070,219,219,65,50,1,0,100,
2026-05-18T23:37:35,1779143855.110,219,219,60,51,1,0,100,
